Cardinalidade;numero de Cks
1;16
2;85
3;34
4;78
5;184
 Total de tuplas criticas de UM: 398
Numero de combinacoes analisadas por cardinalidade
1; 99
2; 4851
3; 156849
4; 3764376
5; 71523144
Tempo total: 
285.207000 
Tempo total por cardinalidade: 
1; 0.000000
2; 0.000000
3; 0.392000
4; 10.743000
5; 274.072000
UM110;
UM105;
UM100;
UM86;
UM85;
UM76;
UM71;
UM68;
UM63;
UM35;
UM26;
UM12;
UM9;
UM8;
UM4;
UM1;
UM108;UM109;
UM106;UM109;
UM106;UM108;
UM103;UM109;
UM103;UM108;
UM103;UM106;
UM94;UM95;
UM92;UM101;
UM92;UM94;
UM92;UM93;
UM90;UM91;
UM89;UM92;
UM89;UM91;
UM89;UM90;
UM83;UM92;
UM83;UM89;
UM83;UM84;
UM82;UM92;
UM82;UM89;
UM82;UM83;
UM80;UM99;
UM80;UM98;
UM80;UM96;
UM80;UM82;
UM78;UM79;
UM77;UM82;
UM77;UM81;
UM77;UM80;
UM77;UM79;
UM77;UM78;
UM70;UM74;
UM62;UM66;
UM59;UM60;
UM54;UM55;
UM52;UM53;
UM51;UM56;
UM51;UM53;
UM51;UM52;
UM50;UM56;
UM49;UM56;
UM49;UM51;
UM49;UM50;
UM46;UM48;
UM46;UM47;
UM45;UM46;
UM44;UM45;
UM43;UM45;
UM43;UM44;
UM40;UM42;
UM40;UM41;
UM37;UM42;
UM37;UM40;
UM37;UM39;
UM34;UM45;
UM34;UM44;
UM34;UM43;
UM32;UM114;
UM30;UM38;
UM28;UM29;
UM27;UM114;
UM27;UM32;
UM27;UM29;
UM27;UM28;
UM25;UM27;
UM24;UM70;
UM23;UM24;
UM22;UM23;
UM21;UM23;
UM21;UM22;
UM20;UM23;
UM20;UM22;
UM20;UM21;
UM19;UM34;
UM19;UM23;
UM19;UM22;
UM19;UM21;
UM19;UM20;
UM17;UM32;
UM17;UM18;
UM15;UM33;
UM11;UM13;
UM6;UM7;
UM5;UM7;
UM5;UM6;
UM2;UM3;
UM80;UM89;UM94;
UM80;UM83;UM94;
UM69;UM75;UM81;
UM69;UM75;UM77;
UM69;UM70;UM81;
UM69;UM70;UM77;
UM69;UM70;UM75;
UM60;UM61;UM62;
UM59;UM62;UM64;
UM49;UM64;UM65;
UM49;UM62;UM65;
UM49;UM62;UM64;
UM49;UM59;UM64;
UM49;UM53;UM54;
UM49;UM52;UM54;
UM45;UM47;UM48;
UM38;UM64;UM65;
UM38;UM49;UM65;
UM24;UM69;UM81;
UM24;UM69;UM77;
UM24;UM69;UM75;
UM23;UM69;UM81;
UM23;UM69;UM77;
UM23;UM69;UM75;
UM23;UM69;UM70;
UM17;UM29;UM31;
UM17;UM28;UM31;
UM17;UM27;UM31;
UM17;UM23;UM27;
UM17;UM23;UM25;
UM15;UM18;UM19;
UM15;UM17;UM19;
UM13;UM14;UM15;
UM11;UM14;UM15;
UM89;UM94;UM98;UM99;
UM83;UM94;UM98;UM99;
UM82;UM94;UM98;UM99;
UM54;UM56;UM62;UM64;
UM54;UM56;UM59;UM64;
UM49;UM60;UM61;UM65;
UM49;UM60;UM61;UM64;
UM42;UM45;UM47;UM49;
UM42;UM44;UM47;UM49;
UM42;UM43;UM47;UM49;
UM40;UM45;UM47;UM49;
UM40;UM44;UM47;UM49;
UM40;UM43;UM47;UM49;
UM37;UM45;UM47;UM49;
UM37;UM44;UM47;UM49;
UM37;UM43;UM47;UM49;
UM34;UM42;UM47;UM49;
UM34;UM40;UM47;UM49;
UM34;UM37;UM47;UM49;
UM33;UM34;UM38;UM42;
UM33;UM34;UM38;UM40;
UM33;UM34;UM37;UM38;
UM24;UM47;UM49;UM65;
UM24;UM38;UM47;UM49;
UM24;UM38;UM42;UM45;
UM24;UM38;UM42;UM44;
UM24;UM38;UM42;UM43;
UM24;UM38;UM40;UM45;
UM24;UM38;UM40;UM44;
UM24;UM38;UM40;UM43;
UM24;UM37;UM38;UM45;
UM24;UM37;UM38;UM44;
UM24;UM37;UM38;UM43;
UM24;UM34;UM38;UM42;
UM24;UM34;UM38;UM40;
UM24;UM34;UM37;UM38;
UM24;UM33;UM34;UM38;
UM24;UM30;UM33;UM34;
UM23;UM47;UM49;UM65;
UM23;UM38;UM47;UM49;
UM23;UM38;UM42;UM45;
UM23;UM38;UM42;UM44;
UM23;UM38;UM42;UM43;
UM23;UM38;UM40;UM45;
UM23;UM38;UM40;UM44;
UM23;UM38;UM40;UM43;
UM23;UM37;UM38;UM45;
UM23;UM37;UM38;UM44;
UM23;UM37;UM38;UM43;
UM23;UM34;UM38;UM42;
UM23;UM34;UM38;UM40;
UM23;UM34;UM37;UM38;
UM23;UM33;UM34;UM38;
UM23;UM30;UM33;UM34;
UM19;UM24;UM33;UM38;
UM19;UM24;UM30;UM33;
UM15;UM34;UM38;UM42;
UM15;UM34;UM38;UM40;
UM15;UM34;UM37;UM38;
UM15;UM24;UM34;UM38;
UM15;UM24;UM30;UM34;
UM15;UM23;UM34;UM38;
UM15;UM23;UM30;UM34;
UM15;UM19;UM24;UM38;
UM15;UM19;UM24;UM30;
UM15;UM18;UM23;UM38;
UM15;UM18;UM23;UM34;
UM15;UM18;UM23;UM30;
UM15;UM18;UM22;UM34;
UM15;UM18;UM21;UM34;
UM15;UM18;UM20;UM34;
UM15;UM17;UM23;UM38;
UM15;UM17;UM23;UM34;
UM15;UM17;UM23;UM30;
UM15;UM17;UM22;UM34;
UM15;UM17;UM21;UM34;
UM15;UM17;UM20;UM34;
UM15;UM16;UM17;UM30;
UM54;UM56;UM60;UM61;UM64;
UM50;UM51;UM54;UM62;UM64;
UM50;UM51;UM54;UM59;UM64;
UM47;UM49;UM65;UM69;UM81;
UM47;UM49;UM65;UM69;UM77;
UM47;UM49;UM65;UM69;UM75;
UM47;UM49;UM65;UM69;UM70;
UM38;UM54;UM56;UM62;UM65;
UM38;UM47;UM49;UM69;UM81;
UM38;UM47;UM49;UM69;UM77;
UM38;UM47;UM49;UM69;UM75;
UM38;UM47;UM49;UM69;UM70;
UM38;UM42;UM45;UM69;UM81;
UM38;UM42;UM45;UM69;UM77;
UM38;UM42;UM45;UM69;UM75;
UM38;UM42;UM45;UM69;UM70;
UM38;UM42;UM44;UM69;UM81;
UM38;UM42;UM44;UM69;UM77;
UM38;UM42;UM44;UM69;UM75;
UM38;UM42;UM44;UM69;UM70;
UM38;UM42;UM43;UM69;UM81;
UM38;UM42;UM43;UM69;UM77;
UM38;UM42;UM43;UM69;UM75;
UM38;UM42;UM43;UM69;UM70;
UM38;UM40;UM45;UM69;UM81;
UM38;UM40;UM45;UM69;UM77;
UM38;UM40;UM45;UM69;UM75;
UM38;UM40;UM45;UM69;UM70;
UM38;UM40;UM44;UM69;UM81;
UM38;UM40;UM44;UM69;UM77;
UM38;UM40;UM44;UM69;UM75;
UM38;UM40;UM44;UM69;UM70;
UM38;UM40;UM43;UM69;UM81;
UM38;UM40;UM43;UM69;UM77;
UM38;UM40;UM43;UM69;UM75;
UM38;UM40;UM43;UM69;UM70;
UM37;UM38;UM45;UM69;UM81;
UM37;UM38;UM45;UM69;UM77;
UM37;UM38;UM45;UM69;UM75;
UM37;UM38;UM45;UM69;UM70;
UM37;UM38;UM44;UM69;UM81;
UM37;UM38;UM44;UM69;UM77;
UM37;UM38;UM44;UM69;UM75;
UM37;UM38;UM44;UM69;UM70;
UM37;UM38;UM43;UM69;UM81;
UM37;UM38;UM43;UM69;UM77;
UM37;UM38;UM43;UM69;UM75;
UM37;UM38;UM43;UM69;UM70;
UM34;UM38;UM42;UM69;UM81;
UM34;UM38;UM42;UM69;UM77;
UM34;UM38;UM42;UM69;UM75;
UM34;UM38;UM42;UM69;UM70;
UM34;UM38;UM40;UM69;UM81;
UM34;UM38;UM40;UM69;UM77;
UM34;UM38;UM40;UM69;UM75;
UM34;UM38;UM40;UM69;UM70;
UM34;UM37;UM38;UM69;UM81;
UM34;UM37;UM38;UM69;UM77;
UM34;UM37;UM38;UM69;UM75;
UM34;UM37;UM38;UM69;UM70;
UM33;UM34;UM38;UM69;UM81;
UM33;UM34;UM38;UM69;UM77;
UM33;UM34;UM38;UM69;UM75;
UM33;UM34;UM38;UM69;UM70;
UM33;UM34;UM38;UM47;UM49;
UM30;UM33;UM34;UM69;UM81;
UM30;UM33;UM34;UM69;UM77;
UM30;UM33;UM34;UM69;UM75;
UM30;UM33;UM34;UM69;UM70;
UM24;UM42;UM45;UM64;UM65;
UM24;UM42;UM45;UM49;UM65;
UM24;UM42;UM44;UM64;UM65;
UM24;UM42;UM44;UM49;UM65;
UM24;UM42;UM43;UM64;UM65;
UM24;UM42;UM43;UM49;UM65;
UM24;UM40;UM45;UM64;UM65;
UM24;UM40;UM45;UM49;UM65;
UM24;UM40;UM44;UM64;UM65;
UM24;UM40;UM44;UM49;UM65;
UM24;UM40;UM43;UM64;UM65;
UM24;UM40;UM43;UM49;UM65;
UM24;UM37;UM45;UM64;UM65;
UM24;UM37;UM45;UM49;UM65;
UM24;UM37;UM44;UM64;UM65;
UM24;UM37;UM44;UM49;UM65;
UM24;UM37;UM43;UM64;UM65;
UM24;UM37;UM43;UM49;UM65;
UM24;UM34;UM42;UM64;UM65;
UM24;UM34;UM42;UM49;UM65;
UM24;UM34;UM40;UM64;UM65;
UM24;UM34;UM40;UM49;UM65;
UM24;UM34;UM37;UM64;UM65;
UM24;UM34;UM37;UM49;UM65;
UM23;UM42;UM45;UM64;UM65;
UM23;UM42;UM45;UM49;UM65;
UM23;UM42;UM44;UM64;UM65;
UM23;UM42;UM44;UM49;UM65;
UM23;UM42;UM43;UM64;UM65;
UM23;UM42;UM43;UM49;UM65;
UM23;UM40;UM45;UM64;UM65;
UM23;UM40;UM45;UM49;UM65;
UM23;UM40;UM44;UM64;UM65;
UM23;UM40;UM44;UM49;UM65;
UM23;UM40;UM43;UM64;UM65;
UM23;UM40;UM43;UM49;UM65;
UM23;UM37;UM45;UM64;UM65;
UM23;UM37;UM45;UM49;UM65;
UM23;UM37;UM44;UM64;UM65;
UM23;UM37;UM44;UM49;UM65;
UM23;UM37;UM43;UM64;UM65;
UM23;UM37;UM43;UM49;UM65;
UM23;UM34;UM42;UM64;UM65;
UM23;UM34;UM42;UM49;UM65;
UM23;UM34;UM40;UM64;UM65;
UM23;UM34;UM40;UM49;UM65;
UM23;UM34;UM37;UM64;UM65;
UM23;UM34;UM37;UM49;UM65;
UM23;UM25;UM29;UM31;UM32;
UM23;UM25;UM28;UM31;UM32;
UM19;UM33;UM38;UM69;UM81;
UM19;UM33;UM38;UM69;UM77;
UM19;UM33;UM38;UM69;UM75;
UM19;UM33;UM38;UM69;UM70;
UM19;UM33;UM38;UM47;UM49;
UM19;UM33;UM38;UM42;UM45;
UM19;UM33;UM38;UM42;UM44;
UM19;UM33;UM38;UM42;UM43;
UM19;UM33;UM38;UM40;UM45;
UM19;UM33;UM38;UM40;UM44;
UM19;UM33;UM38;UM40;UM43;
UM19;UM33;UM37;UM38;UM45;
UM19;UM33;UM37;UM38;UM44;
UM19;UM33;UM37;UM38;UM43;
UM19;UM30;UM33;UM69;UM81;
UM19;UM30;UM33;UM69;UM77;
UM19;UM30;UM33;UM69;UM75;
UM19;UM30;UM33;UM69;UM70;
UM15;UM34;UM38;UM69;UM81;
UM15;UM34;UM38;UM69;UM77;
UM15;UM34;UM38;UM69;UM75;
UM15;UM34;UM38;UM69;UM70;
UM15;UM34;UM38;UM47;UM49;
UM15;UM30;UM34;UM69;UM81;
UM15;UM30;UM34;UM69;UM77;
UM15;UM30;UM34;UM69;UM75;
UM15;UM30;UM34;UM69;UM70;
UM15;UM19;UM38;UM69;UM81;
UM15;UM19;UM38;UM69;UM77;
UM15;UM19;UM38;UM69;UM75;
UM15;UM19;UM38;UM69;UM70;
UM15;UM19;UM38;UM47;UM49;
UM15;UM19;UM38;UM42;UM45;
